individual,subset,chain,Group,Cell Number,Cell Number Estimated,UMIorCell_code,Read count,UMI count,clonetype,Read/Cell(UMI),UMI/Cell(UMI),Clonetype/Cell(UMI)
Y-Tx10,CD4NCD31,TRB,Thymectomized,99615,True,cell,12334869.0,196703,57551,123.82541785875621,1.9746323344877779,0.5777342769663203
O12,CD8N,TRA,Aged,26450,True,cell,2747116.0,29020,13022,103.86071833648393,1.097164461247637,0.4923251417769376
O12,CD8N,TRB,Aged,26628,True,cell,1703746.0,56686,16720,63.98325071353462,2.1288117770767614,0.6279104701817636
Y-Tx2,CD8EM,TRA,Thymectomized,85000,,umi,6919949.0,42677,6769,162.14703470253298,1.0,0.15861002413477987
Y-Tx2,CD8EM,TRB,Thymectomized,85000,,cell,5948401.0,116070,9573,69.98118823529411,1.3655294117647059,0.1126235294117647
O12,CD4EM,TRA,Aged,100000,,umi,4710121.0,98185,19720,47.97189998472272,1.0,0.20084534297499618
O12,CD4EM,TRB,Aged,100000,,cell,2990089.0,193477,24079,29.90089,1.93477,0.24079
O10,CD4NCD31,TRA,Aged,54872,True,umi,972614.0,32136,17815,30.265558874782176,1.0,0.5543627084889221
O10,CD4NCD31,TRB,Aged,57158,True,cell,1139008.0,84108,31418,19.927359249798805,1.4715000524860913,0.5496693376255293
O12,CD4NCD31-,TRA,Aged,47530,True,umi,3303618.0,39111,19598,84.46774564700468,1.0,0.5010866508143489
O12,CD4NCD31-,TRB,Aged,49956,True,cell,2423932.0,94766,30059,48.52133877812475,1.8969893506285531,0.6017095043638402
Y1,CD8EM,TRA,Young,150000,,umi,5552346.0,58524,10565,94.87297518966578,1.0,0.1805242293759825
Y1,CD8EM,TRB,Young,150000,,umi,4604147.0,123280,16421,37.34707170668397,1.0,0.1332008436080467
O6,CD4CM,TRA,Aged,70000,,cell,3972428.0,89467,30035,56.74897142857143,1.2781,0.42907142857142855
O6,CD4CM,TRB,Aged,70000,,cell,2857195.0,174769,37085,40.81707142857143,2.4967,0.5297857142857143
O5,CD4CM,TRA,Aged,130673,,cell,71055351.0,329640,64845,543.7645955935809,2.522632831571939,0.4962387027159398
O5,CD4CM,TRB,Aged,130673,,cell,54753741.0,616876,68085,419.0134228187919,4.720760983523758,0.5210334192985544
Y-Tx2,CD4NCD31-,TRA,Thymectomized,68359,True,umi,9290664.0,16171,10948,574.5262506956898,1.0,0.6770144085090595
Y-Tx2,CD4NCD31-,TRB,Thymectomized,72768,True,umi,7056633.0,36446,21296,193.61886078033254,1.0,0.5843165230752346
O12,CD4CM,TRA,Aged,100000,,cell,3763111.0,131881,37606,37.63111,1.31881,0.37606
O12,CD4CM,TRB,Aged,100000,,cell,2518163.0,260960,47020,25.18163,2.6096,0.4702
Y5,CD8EM,TRA,Young,150000,,cell,4154368.0,215316,8872,27.695786666666667,1.43544,0.05914666666666667
Y5,CD8EM,TRB,Young,150000,,cell,3487603.0,400155,9517,23.250686666666667,2.6677,0.06344666666666667
O6,CD4EM,TRA,Aged,70000,,cell,4071723.0,104546,11205,58.16747142857143,1.4935142857142858,0.16007142857142856
O6,CD4EM,TRB,Aged,70000,,cell,2377278.0,171587,12013,33.96111428571429,2.4512428571428573,0.17161428571428572
O12,CD4NCD31,TRA,Aged,93373,True,umi,2093562.0,54080,29605,38.7123150887574,1.0,0.5474297337278107
O12,CD4NCD31,TRB,Aged,99341,True,cell,1511923.0,116910,47454,15.219526680826647,1.1768554775973668,0.4776879636806555
Y1,CD4NCD31-,TRA,Young,124915,True,umi,6519888.0,29992,16627,217.38757001867165,1.0,0.5543811683115497
Y1,CD4NCD31-,TRB,Young,129349,True,umi,5797238.0,64372,35975,90.05837941962344,1.0,0.5588609954638663
Y-Tx4,CD4NCD31,TRA,Thymectomized,93578,True,umi,7534195.0,79775,45043,94.44305860231903,1.0,0.5646255092447509
Y-Tx4,CD4NCD31,TRB,Thymectomized,99657,True,cell,4956529.0,180854,64812,49.73588408240264,1.8147646427245452,0.6503507029109846
O5,CD4NCD31,TRA,Aged,137335,True,cell,7599896.0,171742,74871,55.338376961444645,1.2505333673135035,0.5451705683183456
O5,CD4NCD31,TRB,Aged,147996,True,cell,6943716.0,418997,104748,46.91826806129895,2.8311373280358927,0.7077758858347523
O9,CD8EM,TRA,Aged,100000,,umi,2742799.0,80828,2222,33.93377294996783,1.0,0.027490473598258028
O9,CD8EM,TRB,Aged,100000,,cell,1431969.0,137141,2413,14.31969,1.37141,0.02413
O10,CD4NCD31-,TRA,Aged,92077,True,umi,1984969.0,37559,17802,52.84935701163503,1.0,0.4739742804654011
O10,CD4NCD31-,TRB,Aged,95847,True,cell,2749352.0,110413,29794,28.684799732907656,1.1519713710392605,0.31084958318987554
O10,CD8EM,TRA,Aged,100000,,umi,963398.0,49345,2852,19.523720741716485,1.0,0.05779714256763603
O10,CD8EM,TRB,Aged,100000,,umi,1128485.0,84761,3724,13.31372919149137,1.0,0.04393530043298215
Y5,CD4CM,TRA,Young,121935,,cell,1690068.0,190219,62726,13.860401033337434,1.560003280436298,0.514421618075204
Y5,CD4CM,TRB,Young,121935,,cell,944550.0,228213,66216,7.746340263255013,1.8715955222044531,0.5430434247754952
Y-Tx9,CD8EM,TRA,Thymectomized,100000,,umi,4510496.0,89981,8763,50.127204632089,1.0,0.09738722619219613
Y-Tx9,CD8EM,TRB,Thymectomized,100000,,cell,3056640.0,155640,9899,30.5664,1.5564,0.09899
Y5,CD4NCD31-,TRA,Young,77171,True,cell,1147289.0,97102,43345,14.86684117090617,1.2582705938759378,0.5616747223698021
Y5,CD4NCD31-,TRB,Young,84852,True,cell,850791.0,166081,56439,10.026764248338283,1.9573021260547778,0.6651463725074247
Y1,CD8N,TRA,Young,147228,True,umi,4890740.0,100923,53727,48.46011315557405,1.0,0.532356350881365
Y1,CD8N,TRB,Young,148963,True,cell,3802467.0,220596,92227,25.526251485268155,1.480877801870263,0.619126897283218
Y7,CD8EM,TRA,Young,100000,,umi,5697735.0,92347,5614,61.69918892871452,1.0,0.06079244588346129
Y7,CD8EM,TRB,Young,100000,,cell,4371916.0,175430,6164,43.71916,1.7543,0.06164
Y-Tx5,CD4CM,TRA,Thymectomized,100000,,umi,5649537.0,57244,30279,98.69221228425687,1.0,0.5289462651107539
Y-Tx5,CD4CM,TRB,Thymectomized,100000,,cell,5229828.0,146961,45593,52.29828,1.46961,0.45593
Y1,CD4NCD31,TRA,Young,143839,True,umi,2230663.0,18491,12550,120.63506570764156,1.0,0.6787085609215294
Y1,CD4NCD31,TRB,Young,149169,True,umi,2247122.0,43799,28514,51.30532660563026,1.0,0.651019429667344
Y1,CD4EM,TRA,Young,150000,,umi,5786182.0,36588,18868,158.14425494697716,1.0,0.515688203782661
Y1,CD4EM,TRB,Young,150000,,umi,4412843.0,63983,30062,68.96899176343716,1.0,0.4698435521935514
Y3,CD4EM,TRA,Young,150000,,cell,2959709.0,169493,37687,19.731393333333333,1.1299533333333334,0.2512466666666667
Y3,CD4EM,TRB,Young,150000,,cell,1708355.0,241290,41967,11.389033333333334,1.6086,0.27978
Y6,CD4EM,TRA,Young,100000,,cell,8357001.0,119956,32629,83.57001,1.19956,0.32629
Y6,CD4EM,TRB,Young,100000,,cell,6080873.0,278962,42146,60.80873,2.78962,0.42146
Y-Tx4,CD4CM,TRA,Thymectomized,100000,,cell,10761475.0,122313,47449,107.61475,1.22313,0.47449
Y-Tx4,CD4CM,TRB,Thymectomized,100000,,cell,5982985.0,224606,55263,59.82985,2.24606,0.55263
Y3,CD4CM,TRA,Young,150000,,umi,5199979.0,21914,10254,237.2902710595966,1.0,0.4679200511088802
Y3,CD4CM,TRB,Young,150000,,umi,2351385.0,23278,13973,101.01318841824899,1.0,0.6002663459060057
Y7,CD8N,TRA,Young,98442,True,umi,5121084.0,77783,43354,65.83808801409049,1.0,0.5573711479372099
Y7,CD8N,TRB,Young,99185,True,cell,3938986.0,170563,64852,39.71352523062963,1.7196451076271613,0.653848868276453
O6,CD4NCD31-,TRA,Aged,28816,True,cell,7040606.0,58653,20331,244.32974736257634,2.0354317046085506,0.7055455302609661
O6,CD4NCD31-,TRB,Aged,29601,True,cell,4738319.0,109737,23319,160.07293672511065,3.70720583764062,0.787777439951353
Y6,CD4NCD31-,TRA,Young,91897,True,umi,8720764.0,60686,34779,143.70306166166827,1.0,0.5730975842863263
Y6,CD4NCD31-,TRB,Young,97641,True,cell,8244974.0,176989,60117,84.44172017902315,1.8126504234901322,0.6156942268104587
Y5,CD4EM,TRA,Young,150000,,cell,2123172.0,247202,49195,14.15448,1.6480133333333333,0.3279666666666667
Y5,CD4EM,TRB,Young,150000,,cell,1263395.0,306323,49260,8.422633333333334,2.0421533333333333,0.3284
Y3,CD4NCD31,TRA,Young,142493,True,cell,5413367.0,192739,80017,37.990406546286486,1.3526208304969367,0.5615503919490782
Y3,CD4NCD31,TRB,Young,149491,True,cell,4423634.0,434244,110206,29.59130650005686,2.904817012395395,0.7372082600290318
Y-Tx4,CD8N,TRA,Thymectomized,98812,True,umi,11413753.0,53311,32495,214.09752208737407,1.0,0.609536493406614
Y-Tx4,CD8N,TRB,Thymectomized,99477,True,umi,4920615.0,86606,44569,56.81609819181119,1.0,0.5146179248550908
Y-Tx6,CD8N,TRA,Thymectomized,98308,True,cell,5207559.0,134070,60136,52.97187410994019,1.3637750742564185,0.6117101354925337
Y-Tx6,CD8N,TRB,Thymectomized,99895,True,cell,3768876.0,262532,77122,37.72837479353321,2.6280794834576304,0.772030632163772
O5,CD4EM,TRA,Aged,150000,,cell,4774492.0,153215,42502,31.829946666666668,1.0214333333333334,0.2833466666666667
O5,CD4EM,TRB,Aged,150000,,cell,3528105.0,292035,49973,23.5207,1.9469,0.33315333333333336
O13,CD4NCD31,TRA,Aged,95431,True,umi,755101.0,29620,20151,25.492943956785954,1.0,0.6803173531397704
O13,CD4NCD31,TRB,Aged,99341,True,umi,601642.0,52914,30901,11.370185584155422,1.0,0.5839853346940318
O10,CD8N,TRA,Aged,98863,True,umi,1148566.0,80957,39742,14.18735872129649,1.0,0.4909025779117309
O10,CD8N,TRB,Aged,99378,True,cell,1276668.0,174872,63563,12.846585763448651,1.7596651170279136,0.6396083640242307
Y1,CD4CM,TRA,Young,150000,,umi,5023224.0,21746,11619,230.99530948220362,1.0,0.534305159569576
Y1,CD4CM,TRB,Young,150000,,umi,4648085.0,47582,25780,97.68578454037241,1.0,0.5418015215837922
Y-Tx4,CD4EM,TRA,Thymectomized,100000,,cell,8731974.0,112194,24220,87.31974,1.12194,0.2422
Y-Tx4,CD4EM,TRB,Thymectomized,100000,,cell,4025338.0,185837,26749,40.25338,1.85837,0.26749
Y-Tx10,CD4CM,TRA,Thymectomized,100000,,umi,4490035.0,71855,33877,62.4874399832997,1.0,0.4714633637186
Y-Tx10,CD4CM,TRB,Thymectomized,100000,,cell,3206611.0,149554,44839,32.06611,1.49554,0.44839
O12,CD8EM,TRA,Aged,100000,,umi,2173501.0,98802,1990,21.99855266087731,1.0,0.020141292686382865
O12,CD8EM,TRB,Aged,100000,,umi,927074.0,80036,2007,11.583212554350542,1.0,0.02507621570293368
Y3,CD8EM,TRA,Young,150000,,cell,7375633.0,210124,20105,49.17088666666667,1.4008266666666667,0.13403333333333334
